Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2017-2018,Swansea City,26,27.2,45.3,38,418,"3,420",38.0,27,20,47,26,1,1,,,0.71,0.53,1.24,0.68,1.21,31.6,30.8,20.2,51.0,596,1194,0.83,0.53,1.36,0.81,1.34
2017-2018,Tottenham,25,25.8,61.8,38,418,"3,420",38.0,70,51,121,68,2,3,,,1.84,1.34,3.18,1.79,3.13,64.7,62.3,49.0,111.3,862,2249,1.70,1.29,2.99,1.64,2.93
2017-2018,Watford,29,27.9,49.7,38,418,"3,420",38.0,42,27,69,39,3,6,,,1.11,0.71,1.82,1.03,1.74,45.0,40.2,29.2,69.4,647,1455,1.19,0.77,1.95,1.06,1.83
2017-2018,West Brom,24,29.1,40.7,38,418,"3,420",38.0,31,24,55,30,1,1,,,0.82,0.63,1.45,0.79,1.42,36.5,35.7,25.9,61.6,507,1106,0.96,0.68,1.64,0.94,1.62
2017-2018,West Ham,27,28.0,45.2,38,418,"3,420",38.0,48,29,77,46,2,4,,,1.26,0.76,2.03,1.21,1.97,36.7,33.6,24.9,58.4,523,1179,0.97,0.65,1.62,0.88,1.54
2018-2019,Arsenal,28,26.7,58.1,38,418,"3,420",38.0,69,52,121,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,60.1,56.0,46.7,102.7,868,1874,1.58,1.23,2.81,1.47,2.70
2018-2019,Bournemouth,28,26.6,46.9,38,418,"3,420",38.0,55,43,98,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.3,46.2,38.8,85.0,738,1435,1.40,1.02,2.42,1.22,2.24
2018-2019,Brighton,21,27.4,42.4,38,418,"3,420",38.0,35,24,59,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,35.3,30.7,24.5,55.2,475,1150,0.93,0.64,1.57,0.81,1.45
2018-2019,Burnley,23,28.0,41.2,38,418,"3,420",38.0,43,32,75,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,44.4,42.8,31.2,74.0,421,1032,1.17,0.82,1.99,1.13,1.95
2018-2019,Cardiff City,25,27.7,35.4,38,418,"3,420",38.0,33,20,53,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,42.4,39.2,27.6,66.8,434,918,1.11,0.73,1.84,1.03,1.76
2018-2019,Chelsea,24,27.3,62.9,38,418,"3,420",38.0,61,52,113,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,58.6,54.6,44.9,99.6,1058,2155,1.54,1.18,2.72,1.44,2.62
2018-2019,Crystal Palace,26,27.4,45.2,38,418,"3,420",38.0,48,33,81,38,10,11,58,2,1.26,0.87,2.13,1.00,1.87,47.6,39.2,29.5,68.7,771,1458,1.25,0.78,2.03,1.03,1.81
2018-2019,Everton,23,25.7,51.5,38,418,"3,420",38.0,53,34,87,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,49.7,45.7,33.7,79.4,697,1581,1.31,0.89,2.19,1.20,2.09
2018-2019,Fulham,28,26.0,48.8,38,418,"3,420",38.0,33,24,57,31,2,3,70,2,0.87,0.63,1.50,0.82,1.45,41.3,39.0,30.0,69.0,628,1487,1.09,0.79,1.88,1.03,1.82
2018-2019,Huddersfield,31,26.2,47.2,38,418,"3,420",38.0,21,13,34,20,1,1,56,4,0.55,0.34,0.89,0.53,0.87,28.8,28.0,19.9,47.9,601,1248,0.76,0.52,1.28,0.74,1.26
2018-2019,Leicester City,25,25.9,50.9,38,418,"3,420",38.0,48,34,82,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,52.4,47.3,37.6,84.9,752,1537,1.38,0.99,2.37,1.24,2.23
2018-2019,Liverpool,23,26.1,61.8,38,418,"3,420",38.0,86,55,141,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,73.7,68.4,49.8,118.2,857,2008,1.94,1.31,3.25,1.80,3.11
2018-2019,Manchester City,21,26.7,67.9,38,418,"3,420",38.0,91,71,162,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18,84.3,81.3,65.5,146.7,1325,2429,2.22,1.72,3.94,2.14,3.86
2018-2019,Manchester Utd,28,26.3,54.7,38,418,"3,420",38.0,65,40,105,56,9,12,75,4,1.71,1.05,2.76,1.47,2.53,61.4,52.0,39.6,91.6,801,1668,1.62,1.04,2.66,1.37,2.41
2018-2019,Newcastle Utd,24,26.9,40.4,38,418,"3,420",38.0,41,33,74,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,39.1,36.7,27.4,64.1,467,985,1.03,0.72,1.75,0.97,1.69
2018-2019,Southampton,30,25.4,43.4,38,418,"3,420",38.0,44,27,71,40,4,5,73,3,1.16,0.71,1.87,1.05,1.76,46.9,43.4,29.3,72.7,603,1333,1.23,0.77,2.00,1.14,1.91
2018-2019,Tottenham,28,26.8,59.0,38,418,"3,420",38.0,66,47,113,62,4,4,57,3,1.74,1.24,2.97,1.63,2.87,54.9,51.8,39.1,90.9,840,1744,1.44,1.03,2.47,1.36,2.39
2018-2019,Watford,25,28.5,46.7,38,418,"3,420",38.0,51,39,90,50,1,1,79,4,1.34,1.03,2.37,1.32,2.34,48.2,47.5,34.8,82.3,588,1294,1.27,0.92,2.19,1.25,2.17
2018-2019,West Ham,26,27.6,48.6,38,418,"3,420",38.0,51,33,84,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,47.6,43.8,34.1,77.9,731,1478,1.25,0.90,2.15,1.15,2.05
2018-2019,Wolves,21,26.1,46.8,38,418,"3,420",38.0,46,35,81,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03,52.1,49.0,39.4,88.4,743,1350,1.37,1.04,2.41,1.29,2.33
2019-2020,Arsenal,29,25.8,53.8,38,418,"3,420",38.0,56,35,91,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,47.0,44.6,31.4,76.1,815,1641,1.24,0.83,2.06,1.17,2.00
2019-2020,Aston Villa,28,25.7,44.1,38,418,"3,420",38.0,40,32,72,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76.0,639,1247,1.16,0.90,2.06,1.10,2.00
2019-2020,Bournemouth,27,25.2,44.1,38,418,"3,420",38.0,38,24,62,34,4,4,78,3,1.00,0.63,1.63,0.89,1.53,44.8,41.7,30.6,72.3,601,1256,1.18,0.80,1.98,1.10,1.90
2019-2020,Brighton,25,26.4,52.2,38,418,"3,420",38.0,35,24,59,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,45.4,43.8,31.6,75.4,669,1675,1.20,0.83,2.03,1.15,1.99
2019-2020,Burnley,22,28.0,41.9,38,418,"3,420",38.0,41,30,71,38,3,3,67,0,1.08,0.79,1.87,1.00,1.79,47.4,45.3,32.4,77.7,437,890,1.25,0.85,2.10,1.19,2.04
2019-2020,Chelsea,27,25.5,60.4,38,418,"3,420",38.0,69,46,115,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,69.2,64.4,46.7,111.1,983,1897,1.82,1.23,3.05,1.70,2.92
2019-2020,Crystal Palace,25,29.4,44.8,38,418,"3,420",38.0,29,20,49,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,35.8,33.6,26.0,59.5,596,1223,0.94,0.68,1.63,0.88,1.57
2019-2020,Everton,24,25.5,49.0,38,418,"3,420",38.0,42,32,74,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,50.8,50.0,38.1,88.1,623,1430,1.34,1.00,2.34,1.32,2.32
2019-2020,Leicester City,24,26.1,57.1,38,418,"3,420",38.0,65,48,113,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,62.2,56.7,44.9,101.6,739,1612,1.64,1.18,2.82,1.49,2.67
2019-2020,Liverpool,24,26.6,62.9,38,418,"3,420",38.0,83,69,152,78,5,5,38,1,2.18,1.82,4.00,2.05,3.87,68.9,65.0,53.0,118.0,967,1941,1.81,1.39,3.21,1.71,3.10
2019-2020,Manchester City,24,26.9,66.2,38,418,"3,420",38.0,100,69,169,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29,92.0,83.6,68.4,152.0,1199,2460,2.42,1.80,4.22,2.20,4.00
2019-2020,Manchester Utd,29,24.8,55.8,38,418,"3,420",38.0,65,43,108,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58,62.2,51.2,38.5,89.7,926,1788,1.64,1.01,2.65,1.35,2.36
2019-2020,Newcastle Utd,28,26.5,39.0,38,418,"3,420",38.0,38,29,67,38,0,1,66,3,1.00,0.76,1.76,1.00,1.76,35.5,34.8,26.9,61.7,537,844,0.94,0.71,1.64,0.91,1.62
2019-2020,Norwich City,30,26.0,49.3,38,418,"3,420",38.0,25,18,43,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08,37.0,35.4,27.4,62.8,673,1169,0.97,0.72,1.69,0.93,1.65
2019-2020,Sheffield Utd,26,26.9,43.1,38,418,"3,420",38.0,36,25,61,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,43.0,42.2,34.0,76.3,493,1352,1.13,0.90,2.03,1.11,2.01
2019-2020,Southampton,25,25.9,48.9,38,418,"3,420",38.0,51,32,83,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,56.1,52.1,36.4,88.5,628,1335,1.48,0.96,2.43,1.37,2.33
2019-2020,Tottenham,29,26.7,52.0,38,418,"3,420",38.0,56,39,95,53,3,4,84,3,1.47,1.03,2.50,1.39,2.42,47.9,44.7,32.6,77.3,768,1410,1.26,0.86,2.12,1.18,2.03
2019-2020,Watford,26,28.9,42.9,38,418,"3,420",38.0,35,21,56,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29,48.9,42.6,31.4,74.0,578,1168,1.29,0.83,2.11,1.12,1.95
2019-2020,West Ham,29,27.4,44.1,38,418,"3,420",38.0,49,36,85,45,4,4,64,1,1.29,0.95,2.24,1.18,2.13,48.6,45.4,36.7,82.2,666,1377,1.28,0.97,2.24,1.20,2.16
2019-2020,Wolves,21,26.6,48.3,38,418,"3,420",38.0,49,34,83,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,54.1,51.0,37.5,88.5,858,1338,1.42,0.99,2.41,1.34,2.33
2020-2021,Arsenal,29,25.9,53.5,38,418,"3,420",38.0,53,38,91,47,6,6,49,5,1.39,1.00,2.39,1.24,2.24,51.8,47.0,35.1,82.1,758,1760,1.36,0.92,2.29,1.24,2.16
2020-2021,Aston Villa,24,25.2,48.5,38,418,"3,420",38.0,52,38,90,47,5,6,71,4,1.37,1.00,2.37,1.24,2.24,52.5,47.9,37.4,85.3,629,1420,1.38,0.98,2.37,1.26,2.25
2020-2021,Brighton,27,25.8,51.1,38,418,"3,420",38.0,39,24,63,33,6,9,49,6,1.03,0.63,1.66,0.87,1.50,50.9,43.8,33.2,77.0,685,1516,1.34,0.87,2.21,1.15,2.03
2020-2021,Burnley,25,28.3,42.1,38,418,"3,420",38.0,32,20,52,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,39.3,36.9,27.7,64.6,389,1012,1.03,0.73,1.76,0.97,1.70
2020-2021,Chelsea,27,26.0,60.9,38,418,"3,420",38.0,56,38,94,48,8,10,51,3,1.47,1.00,2.47,1.26,2.26,62.4,54.5,41.5,96.1,895,1798,1.64,1.09,2.74,1.44,2.53
2020-2021,Crystal Palace,24,29.1,40.6,38,418,"3,420",38.0,39,29,68,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,34.1,31.0,23.6,54.6,526,1132,0.90,0.62,1.52,0.82,1.44
2020-2021,Everton,29,26.3,46.4,38,418,"3,420",38.0,45,32,77,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,45.7,41.9,30.7,72.6,604,1184,1.20,0.81,2.01,1.10,1.91
2020-2021,Fulham,28,25.2,49.7,38,418,"3,420",38.0,26,18,44,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,40.5,35.9,26.3,62.2,727,1354,1.07,0.69,1.76,0.95,1.64
2020-2021,Leeds United,23,26.1,57.3,38,418,"3,420",38.0,60,45,105,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,55.6,52.5,41.9,94.3,811,1633,1.46,1.10,2.57,1.38,2.48
2020-2021,Leicester City,27,26.5,54.3,38,418,"3,420",38.0,64,45,109,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,55.8,46.3,33.7,80.1,666,1464,1.47,0.89,2.36,1.22,2.11
2020-2021,Liverpool,28,26.8,62.1,38,418,"3,420",38.0,65,43,108,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,67.5,62.9,48.3,111.2,886,2057,1.78,1.27,3.05,1.66,2.93
2020-2021,Manchester City,24,26.1,63.5,38,418,"3,420",38.0,82,55,137,77,5,9,46,2,2.16,1.45,3.61,2.03,3.47,68.2,61.2,45.4,106.6,1096,2051,1.80,1.19,2.99,1.61,2.81
2020-2021,Manchester Utd,29,25.6,55.7,38,418,"3,420",38.0,70,51,121,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92,60.1,51.4,41.6,93.1,877,1832,1.58,1.10,2.68,1.35,2.45
2020-2021,Newcastle Utd,27,27.1,38.8,38,418,"3,420",38.0,44,26,70,38,6,7,65,3,1.16,0.68,1.84,1.00,1.68,43.4,37.8,29.0,66.8,467,903,1.14,0.76,1.91,1.00,1.76
2020-2021,Sheffield Utd,27,26.7,41.7,38,418,"3,420",38.0,19,13,32,16,3,4,73,3,0.50,0.34,0.84,0.42,0.76,32.6,29.5,24.9,54.4,491,1196,0.86,0.66,1.52,0.78,1.43
2020-2021,Southampton,29,26.6,52.0,38,418,"3,420",38.0,47,33,80,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97,41.2,36.6,25.8,62.5,626,1195,1.09,0.68,1.77,0.96,1.64
2020-2021,Tottenham,24,27.2,51.6,38,418,"3,420",38.0,66,50,116,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92,53.1,49.2,35.3,84.4,633,1330,1.40,0.93,2.33,1.29,2.22
2020-2021,West Brom,30,26.4,37.9,38,418,"3,420",38.0,33,20,53,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29,35.8,32.7,24.4,57.1,441,1027,0.94,0.64,1.59,0.86,1.50
2020-2021,West Ham,24,27.8,43.2,38,418,"3,420",38.0,60,46,106,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74,55.4,52.1,39.6,91.7,658,1282,1.46,1.04,2.50,1.37,2.41
2020-2021,Wolves,27,26.3,49.3,38,418,"3,420",38.0,34,21,55,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34,36.5,33.4,24.1,57.6,800,1283,0.96,0.63,1.60,0.88,1.51
2021-2022,Arsenal,27,24.4,52.8,38,418,"3,420",38.0,60,41,101,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53,60.5,55.1,40.2,95.4,734,1655,1.59,1.06,2.65,1.45,2.51
2021-2022,Aston Villa,31,26.1,46.5,38,418,"3,420",38.0,50,42,92,47,3,3,81,2,1.32,1.11,2.42,1.24,2.34,44.0,42.0,34.8,76.8,653,1300,1.16,0.92,2.08,1.10,2.02
2021-2022,Brentford,29,25.4,44.8,38,418,"3,420",38.0,46,33,79,40,6,6,65,3,1.21,0.87,2.08,1.05,1.92,45.8,41.1,33.0,74.1,450,1189,1.21,0.87,2.07,1.08,1.95
2021-2022,Brighton,26,26.2,54.4,38,418,"3,420",38.0,40,30,70,36,4,7,72,2,1.05,0.79,1.84,0.95,1.74,46.2,40.7,32.3,72.9,676,1547,1.21,0.85,2.06,1.07,1.92
2021-2022,Burnley,23,28.5,40.2,38,418,"3,420",38.0,32,26,58,31,1,2,68,2,0.84,0.68,1.53,0.82,1.50,39.7,38.1,31.2,69.3,388,972,1.05,0.82,1.87,1.00,1.82
2021-2022,Chelsea,26,27.4,61.8,38,418,"3,420",38.0,75,52,127,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13,63.4,56.6,44.9,101.5,894,1967,1.67,1.18,2.85,1.49,2.67
2021-2022,Crystal Palace,24,27.1,51.1,38,418,"3,420",38.0,50,31,81,44,6,8,69,1,1.32,0.82,2.13,1.16,1.97,46.4,40.1,31.0,71.1,592,1229,1.22,0.82,2.04,1.06,1.87
2021-2022,Everton,33,26.7,40.0,38,418,"3,420",38.0,42,29,71,36,6,7,82,6,1.11,0.76,1.87,0.95,1.71,41.2,35.8,28.5,64.3,512,1100,1.09,0.75,1.83,0.94,1.69
2021-2022,Leeds United,29,26.1,52.3,38,418,"3,420",38.0,42,26,68,37,5,5,101,3,1.11,0.68,1.79,0.97,1.66,44.4,40.4,31.3,71.8,671,1483,1.17,0.82,1.99,1.06,1.89
2021-2022,Leicester City,28,26.5,52.0,38,418,"3,420",38.0,62,46,108,60,2,2,55,1,1.63,1.21,2.84,1.58,2.79,47.8,46.2,34.2,80.4,622,1356,1.26,0.90,2.16,1.22,2.12
2021-2022,Liverpool,27,27.7,62.7,38,418,"3,420",38.0,94,71,165,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16,88.7,82.7,63.5,146.2,885,2243,2.33,1.67,4.00,2.18,3.85
2021-2022,Manchester City,26,27.0,67.9,38,418,"3,420",38.0,96,63,159,89,7,9,42,1,2.53,1.66,4.18,2.34,4.00,88.7,81.4,65.5,146.9,1145,2421,2.33,1.72,4.06,2.14,3.87
2021-2022,Manchester Utd,29,27.2,52.7,38,418,"3,420",38.0,56,46,102,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61,55.8,51.9,42.5,94.3,784,1568,1.47,1.12,2.59,1.36,2.48
2021-2022,Newcastle Utd,29,27.5,40.4,38,418,"3,420",38.0,41,23,64,38,3,3,81,2,1.08,0.61,1.68,1.00,1.61,38.1,35.9,25.8,61.7,544,923,1.00,0.68,1.68,0.94,1.62
2021-2022,Norwich City,28,26.2,42.9,38,418,"3,420",38.0,21,16,37,18,3,3,57,1,0.55,0.42,0.97,0.47,0.89,32.3,30.0,24.3,54.3,566,1031,0.85,0.64,1.49,0.79,1.43
2021-2022,Southampton,25,25.7,47.7,38,418,"3,420",38.0,41,26,67,37,4,4,65,2,1.08,0.68,1.76,0.97,1.66,44.8,41.6,32.5,74.1,728,1326,1.18,0.85,2.03,1.10,1.95
2021-2022,Tottenham,25,26.5,51.8,38,418,"3,420",38.0,63,50,113,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84,61.2,57.3,47.0,104.4,791,1459,1.61,1.24,2.85,1.51,2.75
2021-2022,Watford,30,28.4,40.7,38,418,"3,420",38.0,33,26,59,32,1,2,63,3,0.87,0.68,1.55,0.84,1.53,40.0,38.4,32.5,70.9,557,1070,1.05,0.86,1.91,1.01,1.87
2021-2022,West Ham,25,28.2,47.9,38,418,"3,420",38.0,58,46,104,54,4,6,52,3,1.53,1.21,2.74,1.42,2.63,51.4,46.8,37.4,84.2,646,1449,1.35,0.99,2.34,1.23,2.22
2021-2022,Wolves,26,27.3,49.5,38,418,"3,420",38.0,35,22,57,34,1,1,62,2,0.92,0.58,1.50,0.89,1.47,37.5,36.8,26.4,63.2,723,1283,0.99,0.69,1.68,0.97,1.66
2022-2023,Arsenal,26,24.7,59.3,38,418,"3,420",38.0,84,64,148,81,3,4,51,0,2.21,1.68,3.89,2.13,3.82,71.9,69.1,53.8,122.9,824,2049,1.89,1.41,3.31,1.82,3.23
2022-2023,Aston Villa,26,27.0,49.3,38,418,"3,420",38.0,49,35,84,46,3,4,80,1,1.29,0.92,2.21,1.21,2.13,50.2,47.2,38.8,86.0,637,1242,1.32,1.02,2.34,1.24,2.26
2022-2023,Bournemouth,31,26.3,40.4,38,418,"3,420",38.0,37,24,61,37,0,0,68,0,0.97,0.63,1.61,0.97,1.61,38.6,38.6,28.5,67.1,504,1006,1.02,0.75,1.76,1.02,1.76
2022-2023,Brentford,25,26.2,43.8,38,418,"3,420",38.0,56,36,92,49,7,8,57,1,1.47,0.95,2.42,1.29,2.24,56.8,50.6,38.7,89.2,392,1131,1.49,1.02,2.51,1.33,2.35
2022-2023,Brighton,29,26.3,60.2,38,418,"3,420",38.0,68,46,114,62,6,6,58,0,1.79,1.21,3.00,1.63,2.84,73.3,68.9,52.2,121.2,809,1849,1.93,1.37,3.30,1.81,3.19
2022-2023,Chelsea,32,26.3,58.7,38,418,"3,420",38.0,37,27,64,34,3,3,81,3,0.97,0.71,1.68,0.89,1.61,49.5,47.2,38.6,85.8,829,1737,1.30,1.02,2.32,1.24,2.26
2022-2023,Crystal Palace,26,26.7,46.3,38,418,"3,420",38.0,38,29,67,37,1,3,82,3,1.00,0.76,1.76,0.97,1.74,39.3,36.8,29.0,65.8,556,1243,1.03,0.76,1.80,0.97,1.73
2022-2023,Everton,28,26.6,42.8,38,418,"3,420",38.0,32,24,56,29,3,3,81,2,0.84,0.63,1.47,0.76,1.39,45.2,42.8,32.4,75.1,500,1052,1.19,0.85,2.04,1.13,1.98
2022-2023,Fulham,29,28.2,48.8,38,418,"3,420",38.0,52,33,85,47,5,9,80,1,1.37,0.87,2.24,1.24,2.11,46.2,39.1,28.5,67.7,662,1326,1.22,0.75,1.97,1.03,1.78
2022-2023,Leeds United,29,25.3,47.0,38,418,"3,420",38.0,45,31,76,44,1,3,89,3,1.18,0.82,2.00,1.16,1.97,47.4,45.0,31.9,76.9,555,1429,1.25,0.84,2.09,1.18,2.02
2022-2023,Leicester City,28,26.1,47.7,38,418,"3,420",38.0,49,36,85,46,3,6,63,2,1.29,0.95,2.24,1.21,2.16,50.6,45.8,38.5,84.2,580,1304,1.33,1.01,2.34,1.20,2.22
2022-2023,Liverpool,28,27.4,60.8,38,418,"3,420",38.0,71,58,129,69,2,4,57,1,1.87,1.53,3.39,1.82,3.34,72.6,69.5,56.7,126.1,719,1992,1.91,1.49,3.40,1.83,3.32
2022-2023,Manchester City,24,27.2,64.7,38,418,"3,420",38.0,92,69,161,83,9,10,44,1,2.42,1.82,4.24,2.18,4.00,78.7,71.1,57.6,128.7,987,2073,2.07,1.52,3.59,1.87,3.39
2022-2023,Manchester Utd,26,26.9,53.7,38,418,"3,420",38.0,56,42,98,53,3,3,78,2,1.47,1.11,2.58,1.39,2.50,67.7,65.3,52.2,117.5,711,1595,1.78,1.37,3.15,1.72,3.09
2022-2023,Newcastle Utd,27,27.3,52.3,38,418,"3,420",38.0,64,42,106,58,6,6,61,1,1.68,1.11,2.79,1.53,2.63,72.0,67.4,51.9,119.3,694,1618,1.89,1.37,3.26,1.77,3.14
2022-2023,Nott'ham Forest,33,26.5,37.6,38,418,"3,420",38.0,36,22,58,33,3,6,84,0,0.95,0.58,1.53,0.87,1.45,39.3,34.6,26.3,61.0,435,859,1.03,0.69,1.73,0.91,1.60
2022-2023,Southampton,36,24.7,44.5,38,418,"3,420",38.0,36,25,61,34,2,4,73,0,0.95,0.66,1.61,0.89,1.55,37.7,34.5,28.2,62.7,588,1125,0.99,0.74,1.73,0.91,1.65
2022-2023,Tottenham,29,27.6,50.0,38,418,"3,420",38.0,68,46,114,63,5,6,77,3,1.79,1.21,3.00,1.66,2.87,57.1,52.4,43.1,95.5,692,1449,1.50,1.13,2.64,1.38,2.51
2022-2023,West Ham,25,28.2,42.1,38,418,"3,420",38.0,41,25,66,35,6,8,44,0,1.08,0.66,1.74,0.92,1.58,49.2,43.7,32.7,76.4,614,1274,1.29,0.86,2.15,1.15,2.01
2022-2023,Wolves,32,26.7,49.9,38,418,"3,420",38.0,28,12,40,25,3,3,85,6,0.74,0.32,1.05,0.66,0.97,36.8,34.5,25.4,59.9,610,1343,0.97,0.67,1.64,0.91,1.58
